,Player,PER
458,Jason Smith,8.8
459,Josh Smith,3.5
460,Tony Snell,8.5
461,Marreese Speights,13.7
462,Nik Stauskas,9.0
463,Lance Stephenson,12.4
464,David Stockton,33.9
465,Julyan Stone,7.6
466,Edmond Sumner,39.8
467,Caleb Swanigan,7.5
468,Jayson Tatum,15.2
469,Isaiah Taylor,10.9
470,Jeff Teague,16.4
471,Marquis Teague,5.7
472,Mirza Teletović,13.5
473,Garrett Temple,10.2
474,Miloš Teodosić,11.6
475,Jason Terry,8.1
476,Daniel Theis,16.1
477,Isaiah Thomas,12.6
478,Lance Thomas,6.3
479,Klay Thompson,16.0
480,Tristan Thompson,13.6
481,Sindarius Thornwell,8.2
482,Anthony Tolliver,13.9
483,Karl-Anthony Towns,24.9
484,P.J. Tucker,8.3
485,Evan Turner,9.9
486,Myles Turner,16.6
487,Ekpe Udoh,15.2
488,Tyler Ulis,10.1
489,Jonas Valančiūnas,22.5
490,Denzel Valentine,12.1
491,Fred VanVleet,15.9
492,Rashad Vaughn,9.3
493,Noah Vonleh,12.8
494,Nikola Vučević,19.7
495,Dwyane Wade,15.0
496,Dion Waiters,10.5
497,Kemba Walker,20.6
498,John Wall,19.1
499,Tyrone Wallace,10.1
500,Derrick Walton,11.2
501,Jameel Warney,22.5
502,T.J. Warren,17.6
503,Travis Wear,6.9
504,James Webb III,2.2
505,Briante Weber,10.1
506,David West,20.9
507,Russell Westbrook,24.7
508,Andrew White,5.8
509,Derrick White,15.9
510,Okaro White,8.9
511,Isaiah Whitehead,11.5
512,Hassan Whiteside,24.1
513,Andrew Wiggins,13.0
514,Jacob Wiley,8.2
515,Damien Wilkins,4.9
516,Alan Williams,9.3
517,C.J. Williams,9.5
518,Derrick Williams,-3.2
519,Lou Williams,20.2
520,Marvin Williams,13.9
521,Matt Williams,-0.7
522,Troy Williams,15.1
523,D.J. Wilson,10.3
524,Jamil Wilson,11.4
525,Justise Winslow,11.5
526,Jeff Withey,8.3
527,Nate Wolters,-2.9
528,Brandan Wright,19.0
529,Delon Wright,16.5
530,Guerschon Yabusele,12.3
531,James Young,4.6
532,Joe Young,10.1
533,Nick Young,10.0
534,Thaddeus Young,14.8
535,Cody Zeller,15.9
536,Tyler Zeller,16.0
537,Paul Zipser,5.2
538,Ante Žižić,24.2
539,Ivica Zubac,15.3
